line,page,dates,month,day,year,time,plot,mass,svl,tl,sex,gravid,group,clutch,color,recap,mark,id,damage
1010,32,8/16/08,8,16,2008,N,9,0.358,30,53,U,N,U,NA,R,NA,NA,NA,N
2875,92,5/7/11,5,7,2011,N,5,0.36,30,56,U,N,U,NA,R,N,NA,2132,N
2785,89,5/4/11,5,4,2011,N,9,0.36,30,54,U,N,U,NA,R,N,NA,2042,N
1238,40,9/27/08,9,27,2008,N,4,0.363,30,47,U,N,U,NA,R,NA,NA,NA,Y
37,2,5/17/08,5,17,2008,D,3,0.364,30,55,U,N,U,NA,R,NA,NA,NA,N
1100,35,9/9/08,9,9,2008,N,3,0.366,30,83,U,N,U,NA,R,NA,NA,NA,N
2391,78,5/29/09,5,29,2009,N,9,0.369,30,54,U,N,U,NA,R,NA,NA,1745,N
2618,84,6/14/09,6,14,2009,N,5,0.37,30,47,U,N,U,NA,R,NA,NA,1866,N
206,7,5/22/08,5,22,2008,D,7,0.371,30,54,U,N,U,NA,R,NA,NA,51,N
2299,74,5/28/09,5,28,2009,N,5,0.373,30,54,U,N,U,NA,R,NA,NA,1670,Y
2890,92,5/7/11,5,7,2011,N,5,0.376,30,54,U,N,U,NA,R,Y,RGXG,2147,N
827,26,6/17/08,6,17,2008,N,5,0.376,30,52,U,N,U,NA,R,NA,NA,618,N
2138,69,5/9/09,5,9,2009,N,7,0.377,30,46,U,N,U,NA,R,NA,NA,NA,Y
1369,44,10/9/08,10,9,2008,N,7,0.378,30,48,U,N,U,NA,R,NA,NA,NA,Y
3072,97,5/20/11,5,20,2011,N,5,0.378,30,52,U,N,U,NA,R,N,NA,2348,N
1407,45,10/16/08,10,16,2008,N,5,0.379,30,50,U,N,U,NA,R,NA,NA,1017,N
1377,44,10/9/08,10,9,2008,N,9,0.38,30,54,U,N,U,NA,R,NA,NA,NA,N
327,11,5/31/08,5,31,2008,N,7,0.381,30,48,U,N,U,NA,R,NA,NA,163,Y
2955,94,5/15/11,5,15,2011,N,T2,0.381,30,55,U,N,U,NA,R,N,NA,2212,N
24,1,5/17/08,5,17,2008,D,4,0.381,30,54,U,N,U,NA,R,NA,NA,NA,N
2501,81,6/9/09,6,9,2009,N,7,0.382,30,47,U,N,U,NA,R,NA,NA,1813,Y
27,1,5/17/08,5,17,2008,D,4,0.383,30,55,U,N,U,NA,R,NA,NA,NA,N
1560,51,11/8/08,11,8,2008,N,9,0.385,30,41,U,N,U,NA,R,NA,NA,NA,Y
1704,56,4/6/09,4,6,2009,N,7,0.385,30,52,U,N,U,NA,R,NA,NA,1232,N
1850,60,4/21/09,4,21,2009,N,5,0.386,30,52,U,N,U,NA,R,NA,NA,1394,N
820,26,6/17/08,6,17,2008,N,7,0.386,30,56,U,N,U,NA,R,NA,NA,611,N
2921,93,5/15/11,5,15,2011,N,3,0.387,30,51,U,N,U,NA,R,N,NA,2178,Y
2937,93,5/15/11,5,15,2011,N,5,0.39,30,47,U,N,U,NA,R,N,NA,2194,Y
2273,73,5/27/09,5,27,2009,N,4,0.391,30,55,U,N,U,NA,R,NA,NA,1617,Y
329,11,5/31/08,5,31,2008,N,7,0.395,30,58,U,N,U,NA,R,NA,NA,165,N
475,15,6/4/08,6,4,2008,N,7,0.398,30,56,U,N,U,NA,R,NA,NA,274,N
640,20,6/6/08,6,6,2008,D,5,0.4,30,44,U,N,U,NA,R,NA,NA,435,Y
432,14,6/4/08,6,4,2008,N,4,0.408,30,52,U,N,U,NA,R,NA,NA,233,Y
3084,98,5/20/11,5,20,2011,N,5,0.417,30,56,U,N,U,NA,R,N,NA,2360,N
1492,49,11/1/08,11,1,2008,D,7,0.425,30,46,U,N,U,NA,R,NA,NA,1122,Y
1279,41,9/27/08,9,27,2008,N,7,0.436,30,56,U,N,U,NA,R,NA,NA,NA,N
3121,99,5/23/11,5,23,2011,N,4,0.441,30,55,U,N,U,NA,R,N,NA,2397,Y
622,20,6/6/08,6,6,2008,D,3,0.445,30,56,U,N,U,NA,R,NA,NA,417,N
1637,53,11/15/08,11,15,2008,N,5,0.448,30,59,U,N,U,NA,R,NA,NA,1172,N
483,16,6/4/08,6,4,2008,N,9,0.449,30,55,U,N,U,NA,R,NA,NA,281,N
